4.87	4.83	1
4.25	4.50	0
5.00	5.50	1
5.50	5.66	1
5.62	6.16	1
5.75	6.00	1
5.12	4.66	1
6.62	6.50	0
5.75	1.00	0
4.62	6.83	0
4.75	5.00	1
6.12	5.66	1
4.87	5.83	0
5.87	6.50	1
4.87	4.50	1
4.62	4.83	0
4.50	6.16	1
5.50	4.33	1
4.25	4.83	1
4.25	5.00	1
5.25	6.50	1
5.00	7.00	1
5.75	5.33	1
2.87	5.50	1
5.50	7.00	1
5.50	5.50	0
4.62	5.00	1
4.37	6.83	1
4.37	4.83	0
5.62	6.66	1
5.12	6.00	1
4.37	6.33	1
4.75	5.33	0
4.62	5.50	1
5.12	5.83	1
4.50	5.83	1
5.37	6.83	1
4.75	5.50	1
4.87	5.33	1
5.12	5.33	0
5.37	7.00	1
4.00	4.83	1
5.62	6.16	0
4.25	5.50	0
6.37	4.83	0
5.25	6.33	1
6.00	6.00	0
4.62	5.16	1
4.37	5.83	1
6.12	7.00	1
3.62	6.33	1
6.00	6.33	1
7.00	6.33	1
5.87	5.66	1
5.50	5.33	0
5.12	5.50	0
3.75	4.66	1
5.25	4.66	1
3.87	3.83	1
5.50	6.83	1
6.37	6.83	1
5.25	7.00	1
5.50	5.16	1
4.00	6.83	0
5.87	6.33	1
4.87	5.50	1
4.87	6.66	1
3.50	5.16	1
4.12	6.33	1
5.50	4.16	0
4.00	6.00	0
5.12	6.50	1
4.62	6.33	1
5.87	3.66	0
5.00	5.16	0
4.87	4.16	1
5.75	5.83	1
5.25	5.16	0
4.75	7.00	0
4.37	4.00	1
4.50	6.50	1
4.12	6.50	0
6.50	6.33	1
6.50	7.00	0
4.00	5.66	1
4.25	6.50	1
4.75	5.66	1
5.50	5.66	1
4.75	6.33	1
4.25	5.83	0
6.00	6.66	1
4.50	5.16	1
5.75	5.00	1
4.25	5.00	0
4.62	4.50	1
5.62	5.16	1
5.00	6.83	1
6.50	2.33	0
5.12	5.33	0
5.62	6.66	0
5.50	7.00	1
6.50	6.00	1
4.25	5.66	1
6.00	6.50	1
4.25	4.83	0
4.75	6.50	0
4.75	3.66	1
6.00	6.00	1
4.50	6.00	1
6.25	7.00	1
6.62	5.00	1
4.50	4.50	0
4.62	4.50	0
5.75	5.83	1
5.12	4.50	1
5.37	4.00	1
6.37	7.00	1
6.37	4.66	0
4.75	6.16	0
5.00	7.00	1
4.12	7.00	0
5.87	2.33	0
7.00	6.33	1
5.50	6.83	1
5.00	6.16	0
4.37	4.66	0
5.25	6.00	0
5.25	4.83	1
5.37	6.00	1
